Year,Female,Male
1972,79.1,62.27
1973,79.61,67.26
1974,83.07,67.23
1975,79.73,64.25
1976,77.77,64.36
1977,77.57,63.15
1980,74.26,62.91
1982,75.19,68.36
1984,75.55,63.87
1985,78.01,65.95
1987,75.92,61.4
1988,79.52,67.28
1989,85.82,70.65
1990,84.78,73.9
1991,85.75,73.69
1993,86.55,73.31
1994,84.53,71.06
1996,85.68,73.47
1998,85.3,76.98
2000,86.22,70.39
2002,85.65,77.18
2004,83.48,76.01
2006,84.92,71.97
2008,85.11,69.59
2010,78.2,70.35
2012,78.16,66.19
2014,76.12,66.06
2016,73.51,65.95
2018,76.88,65.5
2021,69.3,61.44
2022,76.32,60.41
