Year,Degree or Higher,Highschool,No Highschool
1972,74.21,70.06,69.96
1973,77.66,73.41,72.68
1974,76.9,76.36,73.32
1975,77.27,72.32,70.79
1976,75.81,71.2,69.89
1977,76.84,67.5,73.16
1980,70.1,68.27,70.5
1982,78.21,73.32,66.5
1984,73.44,68.81,72.3
1985,79.32,70.88,69.74
1987,76.77,66.37,68.86
1988,81.94,72.44,70.43
1989,81.57,76.81,79.65
1990,84.36,78.28,78.95
1991,85.49,78.92,75.98
1993,85.05,80.44,73.16
1994,82.01,75.82,78.38
1996,83.05,79.82,75.47
1998,86.4,78.87,79.95
2000,78.67,76.98,82.38
2002,77.88,82.56,80.05
2004,83.12,80.04,72.97
2006,81.79,76.87,78.08
2008,84.74,74.55,73.32
2010,76.84,73.13,72.75
2012,72.43,72.54,71.29
2014,75.15,68.52,71.01
2016,75.8,65.12,71.95
2018,73.06,70.38,69.51
2021,71.56,61.03,61.19
2022,73.0,64.85,69.13
