Year,White,Black,Other
1972,70.68,67.97,81.82
1973,73.58,75.19,64.52
1974,75.51,73.59,100.0
1975,71.57,79.89,75.0
1976,71.15,74.61,83.33
1977,69.24,82.04,93.33
1980,67.84,79.23,100.0
1982,71.18,79.8,75.0
1984,69.1,77.78,84.11
1985,71.12,78.69,85.42
1987,68.5,76.31,66.38
1988,73.28,80.91,69.26
1989,77.83,81.4,89.51
1990,78.67,86.81,83.02
1991,79.07,80.63,92.58
1993,80.22,75.58,91.53
1994,76.61,84.11,86.28
1996,79.12,80.82,91.68
1998,80.44,86.01,87.88
2000,76.65,87.42,84.07
2002,78.74,86.61,88.87
2004,78.3,82.31,89.31
2006,77.35,82.59,83.38
2008,75.93,86.76,79.64
2010,71.19,84.05,85.91
2012,70.14,80.31,77.07
2014,67.44,81.19,82.94
2016,67.9,69.29,80.37
2018,69.09,78.06,77.58
2021,61.57,74.03,77.7
2022,64.93,78.95,79.59
